LAST SEEN   TYPE      REASON                        OBJECT                                    MESSAGE
27s         Normal    Created                       pod/lab-cluster-1-initdb-wrh9r            Created container: bootstrap-controller
27s         Normal    Pulled                        pod/lab-cluster-1-initdb-wrh9r            Container image "ghcr.io/cloudnative-pg/cloudnative-pg:1.26.0" already present on machine
25s         Normal    Started                       pod/lab-cluster-1-initdb-wrh9r            Started container initdb
25s         Normal    Created                       pod/lab-cluster-1-initdb-wrh9r            Created container: initdb
25s         Normal    Pulled                        pod/lab-cluster-1-initdb-wrh9r            Container image "ghcr.io/cloudnative-pg/postgresql:17.5" already present on machine
21s         Normal    Pulled                        pod/k9b-scheduler-5dcdbf5bf8-jdvpj        Container image "<REGISTRY_HOST>/k9b/k9b-backend:b069a6da50b1fb46f793cc9c293bff4805c6c514" already present on machine
20s         Normal    Started                       pod/k9b-scheduler-5dcdbf5bf8-jdvpj        Started container scheduler
20s         Normal    Created                       pod/k9b-scheduler-5dcdbf5bf8-jdvpj        Created container: scheduler
18s         Normal    Completed                     job/lab-cluster-1-initdb                  Job completed
17s         Normal    Started                       pod/lab-cluster-1                         Started container bootstrap-controller
17s         Normal    Created                       pod/lab-cluster-1                         Created container: bootstrap-controller
17s         Normal    Pulled                        pod/lab-cluster-1                         Container image "ghcr.io/cloudnative-pg/cloudnative-pg:1.26.0" already present on machine
15s         Normal    Pulled                        pod/lab-cluster-1                         Container image "ghcr.io/cloudnative-pg/postgresql:17.5" already present on machine
15s         Normal    Created                       pod/lab-cluster-1                         Created container: postgres
14s         Normal    Started                       pod/lab-cluster-1                         Started container postgres
3s          Warning   Unhealthy                     pod/cnpg-lab-failing-app                  Readiness probe failed:
1s          Warning   BackOff                       pod/k9b-scheduler-5dcdbf5bf8-jdvpj        Back-off restarting failed container scheduler in pod k9b-scheduler-5dcdbf5bf8-jdvpj_<LAB_NAMESPACE>(532b46ee-64a6-4812-8abe-bc8cf7bd9042)
